歌手名字,薛之谦
31134196,不留
歌手名字,华晨宇
29004400,烟火里的尘埃
32835565,国王与乞丐
1305366556,寒鸦少年 - (电视剧《斗破苍穹》主题曲)
442869498,齐天大圣 - (原曲：电视剧《西游记》片头曲《云宫迅音》)
32619105,我管你
481859794,齐天 - (电影《悟空传》主题曲)
33190545,异类
447076308,南屏晚钟 - (原唱：崔萍)
420125810,Here We Are  - (电影《使徒行者》主题曲)
472137749,寻 - (节目《花儿与少年3·冒险季》主题曲)
432698831,我离孤单几公里
509135782,智商二五零 - (《王者荣耀》鲁班七号英雄主打歌)
437859519,我的滑板鞋2016 - (原唱：约瑟翰庞麦郎)
507364050,无聊人
34228112,蜉蝣
29418037,微光 - (Shimmer)
435288233,流浪记 - (原唱：巴奈)
426291338,For Forever
29418042,我们都是孤独的
29357467,卡西莫多的礼物
34964198,地球之盐
419250437,造物者
422463501,To Be Free - (电影《勇士之门》宣传曲)
33705671,差不多先生 (Live) - live
417833854,巨鹿
432698825,消失的昨天
441489796,Dear Friend - (原唱：顺子)
448520454,如果你是李白 - (原唱：莫文蔚)
31645164,癌
29418040,拆弹专家
434981391,写给未来的孩子
29418038,Let You Go
471374398,随我 - (2017快乐男声主题曲)
434981389,世界是个动物园
409060097,火星情报局
29785948,我(live版)
434981388,逃离乌托邦
444267927,痒 - (原唱：黄龄)
29418043,不朽
434981393,忧伤的巨人
571340083,夏之旅 - (Fresh Trip)
29418041,环游
436699211,故乡的云 - (原唱：文章)
434981390,变相怪杰
522320210,穿心 - (《相爱穿梭千年2：月光下的交换》电视剧主题曲)
28160015,趁你还年轻 - (电影《等风来》推广曲)
450041250,音乐剧《如果爱》片段 - (原唱：张学友)
29418045,枕边故事
29785930,春(Live版)
438801570,老鼠爱大米 - (原唱：杨臣刚)
歌手名字,王以太
546279760,目不转睛
1304920094,目不转睛 (Live)
1306498831,童言无忌 (Live)
1313052961,三思而后行 
1306498829,时间是金 (Live)
1296583189,悬崖华尔兹 (Live)
1311347344,梦魇 (live)
1302091338,Champ(Live)
1300594121,追梦 (Live)
449239668,童言无忌（不插电）
449239631,打个总结 (fly and ride)
1308778163,PUMA
1294899232,打个总结 (Live)
546282750,Better Than Me？Feat. 辛巴 & Pact
449235912,时间是金/ Time Is A Fool
546281919,Liquor Whisper
1305111058,吴亦凡战队Cypher (Live)
546282611,梦魇 Feat 梦徐MX Prod. By CANIS MAJOR
474909514,Mask Off Remix (freestyle)
546281866,I Feel Great Feat. 黄旭
1311401375,Dream Girl
546277965,C.D.C (Panorama City Remix)
449004958,- Skrr（王以太 remix）
1300595127,中国新说唱EP05-RAP05
449235296,Come and Stay with me
555142247,结不完REMIX
449234664,yelawolf - 猎人（till its gone）（王以太 remix）
546285149,FEEL. REMIX
536295979,结不完
546283046,也是福Freestyle Prod. By 也是福
449233677,wiz khalifa-豹子 (king of everything remix)（王以太 Remix）
1323600754,目不转睛 (WARZ BOOTLEG)
1313363971,铁血战士 - (《铁血战士》电影同名推广曲)
歌手名字,马雨阳
574566207,盗将行
29805698,前方
1306498527,毫无惊喜的一万多天
413834633,小娃
547969394,直面丑陋的自己
439121043,鲜活
1293953560,抱影而眠
514761027,儿时 (Live)
472944235,烛火
41656504,时空梦
482395089,离家的少年
496298743,尘灰
558754137,青春是一本仓促的书
29805686,雨中骄阳(序曲)
448316932,摩托车带我出京
36080501,最轻的雪花
29805689,镜中迷
29805692,给我你的双手
27678894,红尘
534085837,希求 - (《莫名我就喜欢你》电影推广曲)
29805688,迷失
27678892,纯粹
41637011,男子汉不哭
28288509,雪后晨早
521602251,我有一个长长的。。。
419373022,伤口
29805691,挣
454213540,伟哥炸酱面
29805695,宽广的街
504663316,摩托车（交响）
29805697,信念(尾声)
29805693,夜路茫茫
27678890,灭
504661556,伴你左右
27678891,身影
504662831,雨中的骄阳
513360048,离家少年 (纯音乐版)
513360049,战斗
504662460,幻美夜空
504663250,镜中迷片段
504663410,夜色中追逐
496382039,尘灰 (伴奏)
504662653,配乐专辑问候语
439121044,鲜活 (伴奏)
569214142,炸酱面 (live in 北京)
488008642,关于众筹的问候+《烛火》
513356040,片头曲 (1)
513356041,奉献与真理
513360050,双手 (片段)
41663670,马老湿进群拜年
歌手名字,徐秉龙
514761281,白羊
522510615,千禧
504624714,青柠
1294899029,心事
461899833,鸽子
466370500,不二臣
557581095,双子
445505374,心仪
546723152,拥抱
509932349,失物招领
472117541,林宥嘉
1306496592,霓虹
528271077,年年
1299570603,戏精
480783619,迂回
1323303739,艺术家
486252038,陈瑞
430026506, 虹
1319595713,青柠（合唱版）（Cover：徐秉龙）
429459647,What I Could Do
1322670488,青柠（Cover：徐秉龙/桃十五）
458243905,孤僻症
歌手名字,毛不易
536099160,不染 - (电视剧《香蜜沉沉烬如霜》主题曲)
569213220,像我这样的人
1313052960,从无到有 - (电视剧《创业时代》片尾主题曲)
569200213,消愁
525278524,无问 - (电影《无问西东》宣传曲)
569214247,平凡的一天
569214250,借
569200212,一荤一素
569200210,给你给我
518088247,项羽虞姬 - (《王者荣耀》项羽虞姬英雄主打歌)
524913480,感觉自己是巨星 - (电影《卧底巨星》推广曲)
569212211,盛夏
569214252,如果有一天我变得很有钱
1306496991,一江水 - (电视剧《天坑鹰猎》概念主题曲)
569212210,想你想你
569200211,哎哟
569214251,芬芳一生
569214249,南一道街
519250015,请记住我 - (《寻梦环游记》中文主题曲)
862098671,意料之中
569212213,Bonus Track：给你给我 (Demo版)
569200214,Bonus Track：一荤一素 (Demo版)
523946593,Remember Me (Mao Bu Yi Version)
542058293,牧马城市 - (电视剧《老男孩》片尾曲)
1304301646,梅香如故 - (电视剧《如懿传》片尾曲)
518089004,二零三
518089001,一程山路
541422041,浴火成诗 - (《烈火如歌》电视剧片尾曲)
502925974,一半 (Live)
542667241,月下独酌 (Live)
505474396,故乡游 (Live)
528251032,深夜一角
526470589,下雨了 (Live)
528251035,南一道街 North Hollywood
508053465,青春 (Live)
505474398,Imagine (Live)
503206092,南一道街_North Hollywood (Live)
528251030,等
528251031,明天的孩子们
524913511,我要你 (Live)
866049124,小半 (Live)
508053467,模特 (Live)
522320029,203 + 感觉自己是巨星 (Live)
521267030,像我这样的人 + 一程山路 (Live)
541422440,牧羊曲 (Live)
521267035,很多事要唱 (Live)
521267037,一生所爱 (Live)
525278997,渡情 (Live)
524913515,大喊大叫的流行歌 (Live)
歌手名字,艾热
1296583188,星球坠落 (Live)
1306498832,乌云中 (Live)
527335918,乌云中
1313107926,攀登 (Live)
1311346362,都是小事儿 (live)
482359378,巨人(JU REN)
1313052974,新三部曲 (Live)
1302066405,顶天立地(Live)
1306496848,小人物 (Live)
1306498049,巨人 (Live)
1297743638,你能看到我
1311345342,受够了 (live)
1311346364,家走 (live)
1311319387,West Side (live)
1306507052,蜕变 (Live)
1294924175,AIR (Live)
1311346363,往昔 (live)
538225861,家走
550004449,我到新疆去
557579646,外婆
1311346391,乌云中 (live)
506987626,AMAZING GIRL(Prod by.Ballrockin)
1321751090,真的
1305111035,中国新说唱EP07 RAP07 (Live)
480223645,Trilogy(三部曲)
1313107985,逍遥 - (Unfettered)
1304922136,潘玮柏邓紫棋战队Cypher (Live)
532440736,Blur out(#STONA GANG)
1312148449,蛋 feat.艾热
479004655,B.T.T.O.D(往昔)
473787122,Not Young Anymore (Prod. by Vyan & 史家汝)
512429325,Kichik ishla(都是小事儿)
477730424,Doubt(疑惑)
464486381,慢慢来
488891197,On My Way
486411799,HipHop 101
475377394,THAT'S RIGHT(#STONA GANG)
29950541,Pray
1294889259,和平鸽Peace&Dove (Prod by. Situasian张太郎)
29950540,Tokyo Drift
487567513,FEELING RIGHT(#STONA GANG)
29950542,The Black Swan
410710937,LIFE LIKE THIS 2016
1296558298,巨人（Live版）
1297486024,Get High（Live版）
1324383992,星球坠落 x Tremor x ID (WARZ EDIT) 120-150 TRANSITION
1323302972,女孩 (Live)
1300423168,安静的稻草人 (Live)
1297532271,风语画江湖 - (电影《风语咒》热血版插曲)
1297532272,风语画江湖 (伴奏)
歌手名字,许嵩
167876,有何不可
167655,幻听
28854182,惊鸿一面
167827,素颜
411214279,雅俗共赏
554191378,我乐意
167850,庐州月
573384240,如约而至
167882,清明雨上
167844,灰色头像
167937,断桥残雪
27646687,玫瑰花的葬礼
569213279,大千世界
862099032,明智之举
28802028,山水之间
167873,多余的解释
167870,如果当时
167885,城府
167744,半城烟沙
167732,千百度
402073807,燕归巢
412902950,最佳歌手
167666,闺蜜
167727,降温
418603441,平行宇宙
34040693,千古
415792563,摄影艺术
5255987,你若成风
167888,认错
167691,天龙八部之宿敌 - (网游《天龙八部3》主题曲)
448144319,今年勇
521415426,蝴蝶的时间
167715,医生
167841,叹服
167705,想象之中
167679,全球变冷
167903,我想牵着你的手
428095913,江湖  - (网剧《画江湖之不良人》主题曲)
557584658,老古董
167786,南山忆
167712,拆东墙
465677131,深夜书店
167894,星座书上
167709,河山大好
28952258,弹指一挥间
28953350,七夕
1309642305,飞驰于你 - (QQ飞车手游敦煌版本主题曲)
27646697,浅唱
865460479,浪
865460480,重复重复
歌手名字,王力宏
25643291,需要人陪
27713963,好心分手 - (DUET WITH 王力宏)
27698606,爱一点 - (Love a Little)
25642125,你不知道的事 - (电影《恋爱通告》主题曲)
25986095,大城小爱
27483167,唯一
25642129,依然爱你
25643258,心跳
25642952,我们的歌
25643327,爱的就是你 - (电视剧《蜜桃女孩》片头曲)
440411424,缘分一道桥 - (电影《长城》片尾曲)
25642941,改变自己
5233037,另一个天堂
25642788,不可能错过你
25643236,春雨里洗过的太阳
25641873,爱错
25642946,落叶归根
25641840,心中的日月
25986099,花田错
5268423,手牵手 - (2003年抗非典公益歌曲)
25642136,Can You Feel My World
25642121,你不在
25986093,Kiss Goodbye
25643359,龙的传人
29932099,就是现在
5239564,你是我心内的一首歌
25986094,爱 因为在心中
25643275,美
25642153,一首简单的歌 - (电视剧《巴黎恋人》片尾曲)
25643240,脚本
25642119,火力全开
30070681,你的爱
5257150,雪人
5257435,Forever Love
25986103,在梅边
25986097,盖世英雄
25643227,爱你等于爱自己
25643268,伯牙绝弦 - (电影《恋爱通告》概念主题曲)
554367705,A.I. 爱
25794006,One Shot
5257143,让我取暖
28660644,比你更好(粤语版)
25641863,星座
25986096,第一个清晨
30260024,忘我
422463810,FLOW
25642769,Julia
25643354,两个人不等于我们
29850094,裂心
25643271,柴米油盐酱醋茶
歌手名字,张学友
191232,遥远的她
188432,如果这都不算爱
189315,慢慢
190449,吻别
190270,饿狼传说
189987,只想一生跟你走
190380,还是觉得你最好
188647,她来听我的演唱会
188429,我真的受伤了
188657,你最珍贵
188674,情书
190360,等你等到我心痛
188703,李香兰
189396,一千个伤心的理由
188071,一路上有你
190473,秋意浓
36861904,"相爱很难(电影""男人四十""歌曲)"
188671,心如刀割
187672,烦恼歌
187937,小城大事 - live
188989,离人
189072,回头太难
188555,相思风雨中 - (电视剧《出位江湖》插曲)
5251209,承诺(香港版)
190563,每天爱你多一些
189313,忘记你我做不到
190328,祝福
190803,只愿一生爱一人
189714,旧情绵绵
189873,我等到花儿也谢了
190808,夕阳醉了
188747,雨夜的浪漫
189841,离开以后
189012,头发乱了
188261,咖啡
188948,爱你痛到不知痛 - (1999年TVB版《雪山飞狐》主题曲)
190807,忘情冷雨夜
190452,情网
